slno,state,confirm,cured,death,total
1,Andaman and Nicobar Islands,10764,10622,129,21515
2,Andhra Pradesh,2339833,2324741,14733,4679307
3,Arunachal Pradesh,66895,66596,296,133787
4,Assam,746112,738070,8035,1492217
5,Bihar,852215,839416,12305,1703936
6,Chandigarh,99962,98518,1184,199664
7,Chhattisgarh,1180257,1164259,14157,2358673
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,23184
9,Delhi,2023227,1991367,26563,4041157
10,Goa,261574,256931,4014,522519
11,Gujarat,1287320,1273939,11072,2572331
12,Haryana,1065112,1050249,10721,2126082
13,Himachal Pradesh,318672,312573,4230,635475
14,Jammu and Kashmir,480935,475389,4789,961113
15,Jharkhand,442871,437356,5333,885560
16,Karnataka,4082067,4039656,40335,8162058
17,Kerala,6868970,6777433,71693,13718096
18,Ladakh,29534,29274,231,59039
19,Lakshadweep,11415,11363,52,22830
20,Madhya Pradesh,1055627,1044561,10779,2110967
21,Maharashtra,8155839,8001444,148479,16305762
22,Manipur,139945,137788,2149,279882
23,Meghalaya,96813,95173,1625,193611
24,Mizoram,238977,238243,726,477946
25,Nagaland,35992,35207,782,71981
26,Odisha,1339248,1328317,9208,2676773
27,Puducherry,176900,174390,1978,353268
28,Punjab,788550,766475,19302,1574327
29,Rajasthan,1319050,1307027,9683,2635760
30,Sikkim,44485,43918,500,88903
31,Tamil Nadu,3602215,3560964,38056,7201235
32,Telangana,842962,838593,4111,1685666
33,Tripura,108038,107094,940,216072
34,Uttarakhand,450574,442520,7760,900854
35,Uttar Pradesh,2134209,2107137,23658,4265004
36,West Bengal,2119755,2097581,21533,4238869
